label	context
neg	不错啊，学习了！ ------------------------------------------- 查看白银、原油双向投资赚钱技巧，推荐访问：中金在线金十数据名师讲解
neg	查看黄金、白银、原油双向投资赚钱技巧，推荐访问：中金在线金十数据名师讲解
neg	2016年是乡镇民主选举进行年，大家知道吗？求转告，求转发。本次民主选举可以自己推荐，也可以组织推荐，要求必须是党员，组织通过考核之后，候选人可以宣传造势，每个行政村都设置投票箱，所有居住所在地选民达到年龄可以参加选举，选民要有序排队投票。本次选举重要内容是候选人有竞争压力，组织审查通过的候选人必须两人以上，得票最多的人当选。媒体，记者，民众监督投票、开票，投票结果通过各种方式告知民众。发现送钱送物贿选的，请立即举报，贿选的候选人将永久失去参选资格。国家要将本次选举的的好方法，好模式进行总结推广，请各位乡邻珍惜此次机会。
neg	佳能公司财务部董事内田正博是个阉人，泰国人妖， 他利用海洛因控制了一帮垃圾中国人迷奸中国同事，拍裸照，威胁其家人， 还用同样的手法控制了一帮有头有脸有权的人， 如青年报社的人， 新浪和搜狐的编辑。。如果不信问问汪涵和李易峰。
neg	贴你 贴你 贴你 贴你 开心 美好 顶 路过 贴你 顶 贴你 其实女人也很色的，前几天在公司无意看到一女同事进了这个网站→ wvw.yuehui8.xyz 我偷偷的进去一看 哇 真的让人难以想象啊 好多90后的妹子问你约不~原来邂逅艳遇这么简单~~~ 目前为止已经约到过3个了！
neg	因为家族有酒庄生意，之前做过红酒生意。但是之后便转行了，做了BBF时尚礼物品牌创始人
neg	查看黄金、白银、原油双向投资赚钱技巧，推荐访问：中金在线金十数据名师讲解
neg	恭喜！您已经成功开通了博客。您可以删除或编辑此博文，开始您的博客之旅......
neg	老师您好：看到您的文章，深感您的教育情怀，为了能让更多的人看到您的文章，您可以将文章同时发到“我的班”教育平台。这是一个集教师、学生、家长沟通交流的社交平台。功能很强大！可以把文章自动转发到微信朋友圈！不麻烦！只要搜一下“我的班虚拟教室”简单注册一下即可。
neg	今天你做工资规划了吗？今天你理财了吗？花1分钟学习，收益终身
neg	珍惜我们不曾相见却博中相遇， 不曽相识而心灵相通的空间情缘！
neg	拜读佳作，写得非常好，欢迎回访来看看——【白天闲时赚一把，没事偷着乐；晚上睡前捞一笔，默默变土豪！快来体验现货原油的投资魅力吧！】
neg	你不理财，财不理你，投资时代已到来,最具前景的原油投资适合你。
neg	这是北京卫戍区警卫第三师的一个战士的吼声，就是我亲作一篇心语！当时的浏览量有近万次，由187有良心的人转载，但不知何因，被网管删去了！让我伤心暴怒！！！！！！！！！无奈，我又从转载我的文章的博友中转载过来！让我们高呼：战无不胜的毛泽东思想万岁！中国不难有小人得志！它得志就猖獗！中国要的是理想，不是梦！中国的军队不是对内是无敌，对外是懦夫！！！！！！！！！
neg	恭喜佳作选登，欢迎关注『再见冥王星』的微信公众号：zaijianmingwangxing- 问好，念安！
neg	您好！您的这篇博文已经被推荐至新浪草根名博首页【衣食住行】栏目，草根名博是每一位草根博友的家，欢迎您和您的朋友们来草根名博首页右上角的投稿入口向博乐自荐博文。感谢您的持续关注和积极投稿！  草根名博【衣食住行】栏目博乐 仙乡洪泽
